gdp;mining;ind;eletco;eletin;eletot;eletho;constr;retail;rtailb;export;import;diesel;truckt;jobrtl;jobtrs;jobacc;jobhlt;jobedc;credit
149.69;91.4;99.7;180.6351398;152.446016;144.6566524;134.7004388;88.13756058;64.3;69.2;93.81;123.39;149.1850431;136.3475738;159.9994306;132.2425846;126.2760817;133.3846366;133.844355;226.7255269
149.69;99.6;102.6;176.7000345;155.3812352;145.2682403;137.4983708;90.75872389;70.3;72.3;123;152.87;145.5417066;138.0297937;160.8875388;132.9071695;126.5317622;134.010825;134.5143795;223.3964532
149.69;98.5;103.6;166.689679;155.968279;145.9763948;132.4412391;92.00509838;65.5;70.6;111.33;152.57;154.1706616;137.6811281;162.1385347;133.9134793;127.0459535;134.9216621;134.3524121;229.0257244
154.86;104.3;108.8;165.3779772;160.2732672;146.555794;132.9973498;98.72041303;67.7;74;116.82;158.83;150.7190796;146.3139197;163.1400129;134.6650366;127.5184144;135.5100851;133.4832752;236.2521025
154.86;104.1;107.1;172.3507076;162.3639672;151.3841202;136.6815832;98.57689112;69.6;72.6;110.05;162.63;151.1025887;140.9281286;164.2872157;135.4414749;128.2126155;136.3832538;135.3214824;223.3070516
154.86;99.9;107.8;176.216776;160.4277524;156.276824;135.8300387;96.88484333;67.6;74;113.93;160.87;162.991371;143.3529069;166.3502221;136.3218196;128.890379;137.1309908;136.1497032;245.4922897
146.92;100.8;108.9;181.6016569;162.6626386;157.9506438;141.1130903;99.88369588;70.7;71.8;107.37;167.13;160.8820709;146.2116533;166.7085801;136.991455;129.1020957;137.7493154;136.4775976;237.5688822
146.92;87.8;96.7;189.9206075;155.968279;157.6287554;143.1637485;87.94116218;69;66.6;93.32;132.1;144.966443;132.4890955;167.3324603;137.2305362;129.4828377;138.4565685;136.4387556;215.4442553
146.92;77.5;79.2;185.9164653;140.8390264;154.9248927;138.0197246;76.27811851;92.7;83.8;95.16;124.24;134.611697;128.0688427;165.8036906;135.9476378;128.9430679;138.3018175;132.525801;245.5104731
139.67;77.6;78.7;186.5723162;125.2772151;153.1545064;149.3157232;76.45185556;68.3;68.3;71.02;109.58;122.9146692;117.6200429;165.8135695;135.3758185;129.2199382;138.930433;131.972491;202.3885889
139.67;71.8;76.3;188.9886089;130.0044629;146.2017167;141.4085241;71.31528192;62.3;63.1;72.12;87.78;133.6529243;113.0978424;165.9454031;135.37567;129.5667401;139.4805079;135.3088493;186.7887647
139.67;84.2;88.8;196.6517087;137.8935082;152.5751073;147.5431203;82.91789531;68.3;74;88.9;113.98;141.514861;134.7660026;166.6768727;135.8181076;129.6160013;140.0208746;137.1135883;235.5808327
146.39;80.8;85.5;196.2720055;139.6443407;150.804721;147.2129296;77.87952088;68.9;68.7;93.62;99.59;143.4324065;129.6702101;167.2128351;136.7376679;130.0119866;140.9534584;138.0616348;216.6943626
146.39;85.4;91.6;181.1183983;137.5639397;145.944206;142.2948256;81.981226;72.3;74.3;91.37;108.46;137.4880153;134.0318063;167.5830563;137.0405487;130.4311093;141.6655657;138.7834173;212.1773082
146.39;89.1;92.4;173.6624094;140.1283944;146.6845494;137.4462354;83.5675208;69.2;78;105.96;111.59;148.801534;131.0401619;167.7124741;137.2711629;130.7682252;142.2998121;138.5208566;230.7682983
153.06;93.6;98;172.5233;144.1553091;148.4871245;140.8524134;88.99869205;71.7;74.7;103.14;126.1;151.6778523;136.0964335;168.4665055;137.3964596;131.0336176;143.1147307;137.5307627;230.5485825
