gdp;mining;ind;eletco;eletin;eletot;eletho;constr;retail;rtailb;export;import;diesel;truckt;jobrtl;jobtrs;jobacc;jobhlt;jobedc;credit
0.067513367;0.082923171;0.083341648;0.065109198;0.057256697;0.038737632;0.078388952;0.14040872;0.107496391;0.149880531;0.049303907;0.208254629;0.103101266;0.105834254;0.079284321;0.04438315;0.04314613;0.048443329;0.027203236;0.11171396
0.067513367;0.082045994;0.015052025;0.099303723;0.051944515;0.049694251;0.067858287;0.091577691;0.094879238;0.066928887;-0.059785079;0.17047538;0.012771566;-0.000370727;0.081304544;0.048575062;0.045311603;0.051942256;0.029337273;0.038810944
0.067513367;0.092211881;0.087180054;0.064316541;0.039546888;0.046804495;0.04809312;0.130306552;0.089704619;0.146745732;0.043594347;0.232715543;0.139938429;0.078070587;0.086080116;0.051170486;0.045728837;0.053750105;0.030498828;0.241180574
0.01019335;0.070907969;0.001838236;0.074971006;0.047587899;0.023923599;0.077828412;0.074881982;0.094885942;0.033997609;-0.093979992;0.135302327;0.056387485;0.021323638;0.079823898;0.051805942;0.043302947;0.05480501;0.030999277;0.061665621
0.01019335;-0.046727076;-0.064085989;0.074695344;0.000594471;0.029426077;0.05861614;0.008020396;0.049007579;-0.042622175;-0.105081866;-0.040646355;-0.015748357;-0.010193519;0.072816268;0.054425362;0.04201761;0.056862146;0.032070792;-0.015666372
0.01019335;-0.240793325;-0.153067843;0.042285188;-0.093480353;0.03833185;0.041782541;-0.045871612;0.037366985;0.012004946;-0.074985807;0.037895127;0.027438544;-0.008585392;0.063876367;0.050111482;0.037762435;0.056026656;0.026860128;0.080281385
-0.024540675;-0.203361542;-0.186126254;0.029286869;-0.159188002;0.018240166;0.053918515;-0.117859881;0.057244543;0.02821271;-0.275534525;-0.234504216;-0.063465403;-0.095436623;0.058134671;0.043957988;0.035316599;0.056125106;0.027048401;-0.084480694
-0.024540675;-0.210247382;-0.178381959;0.04884496;-0.127602021;-0.012906227;0.021364618;-0.144342878;0.037616864;0.01436577;-0.219921505;-0.38497872;-0.057158414;-0.083453414;0.054248676;0.041072249;0.034703372;0.057638262;0.029166434;-0.082873002
-0.024540675;-0.110099861;-0.098580829;0.07847878;-0.108939137;0.040690147;0.098578176;-0.068646633;0.011782169;0.059864775;0.02794593;-0.063479661;-0.016129382;0.005830775;0.050388216;0.037135613;0.031051636;0.05560232;0.03046614;0.046777333
-0.022292196;-0.123268513;-0.153649301;0.083022286;-0.087711773;0.041622742;0.088826698;-0.123735754;0.069096547;-0.007251663;-0.002027424;-0.214288313;-0.039323546;-0.050212933;0.044097206;0.033426259;0.029156016;0.055192795;0.03102262;-0.04525226
-0.022292196;-0.153816064;-0.113406661;0.024697377;-0.121792854;0.004642431;0.034289073;-0.10171433;0.02805233;0.027286823;-0.297267158;-0.343206446;-0.056925937;-0.029392426;0.040773483;0.030625947;0.030351828;0.055548529;0.031243465;-0.051525726
